column
"Bukoto 6 rental investment for sell Apartment for sale, Bukoto  620,000,000 UGX  Today, 9:48"
"Kisaasi twelve units rental investment for sale Apartment for sale, Kisaasi  1,100,000,000 UGX  Today, 9:37"
"Bukoto town 12 rental apartments on sell Apartment for sale, Bukoto  1,100,000,000 UGX  Today, 9:31"
"Kira stunning 6 bedrooms mansion on sell Houses for sale, Kira  830,000,000 UGX  Today, 9:16"
"Kisaasi posh 7 bedrooms mansion on sale Houses for sale, Kisaasi  8,400,000,000 UGX  Today, 9:11"
"Kira 7 bedrooms mansion on sale Houses for sale, Kira  1,250,000,000 UGX  Today, 9:07"
"Kisasi 8 rental investment for sell  Apartment for sale, Kisaasi  610,000,000 UGX  Today, 8:49"
"Kisasi 6 bedroom house for sell Houses for sale, Capital City  850,000,000 UGX  Today, 8:46"
column
"Kiwatule 16 units apatment block for sell Apartment for sale, Kiwaatule  950,000,000 UGX  Today, 8:45"
"Bukoto 19units occupied apartment investment for sell Apartment for sale, Bukoto  1,500,000,000 UGX  Today, 8:44"
"Kiwatule 6 rental investment for sell Apartment for sale, Kiwaatule  410,000,000 UGX  Today, 8:42"
"Kisasi 6 rental investment for sell  Apartment for sale, Bukoto  620,000,000 UGX  Today, 8:39"
"Kiwatule 6 units rental investment for sell Apartment for sale, Kiwaatule  520,000,000 UGX  Today, 8:39"
"Kisasi 9 units apatment block for sell Apartment for sale, Kisaasi  600,000,000 UGX  Today, 8:37"
"Bukoto Kisasi 3 bedroom Furnished apatment for rent Furnished apartment, Capital City  3,000,000 UGX  Today, 8:37"
"Kiwatule 6 units rental investment for sell Apartment for sale, Kiwaatule  280,000,000 UGX  Today, 8:36"
column
"Kisasi 8 rental investment for sell Apartment for sale, Kisaasi  400,000,000 UGX  Today, 8:35"
"Bukoto 16 units two blocks sell  Apartment for sale, Bukoto  1,200,000,000 UGX  Today, 8:32"
"Kisasi town 8 units apatment block for sell Apartment for sale, Bukoto  670,000,000 UGX  Today, 8:29"
"Bukoto town 12 units occupied apatment sell Apartment for sale, Bukoto  900,000,000 UGX  Today, 8:28"
"Kisasi 8 rental investment for sell Apartment for sale, Kisaasi  650,000,000 UGX  Today, 8:27"
"Kisasi 8 units apatment block for sell  Apartment for sale, Kisaasi  650,000,000 UGX  Today, 8:26"
"Ntinda 12 units occupied apartment Block for sell Apartment for sale, Bukoto  1,100,000,000 UGX  Today, 8:25"
"Kisasi twelve units rental investment for sell Apartment for sale, Wakiso  1,100,000,000 UGX  Today, 8:24"
column
"Kira 6 bedrooms mansion on sell Houses for sale, Kira  840,000,000 UGX  Today, 8:24"
"Kisasi twelve units rental investment for sell Apartment for sale, Kisaasi  950,000,000 UGX  Today, 8:23"
"Kira 5 bedrooms mansion on sale  Houses for sale, Kira  720,000,000 UGX  Today, 8:18"
"Mutungo 7 bedrooms mansion house on sale Houses for sale, Capital City  1,500,000,000 UGX  Today, 8:08"
"Kira 3 bedrooms storyed house on sale Houses for sale, Kira  390,000,000 UGX  Today, 7:57"
"Mutungo 4 bedrooms house on sell Houses for sale, Capital City  720,000,000 UGX  Today, 7:55"
